reward,steps,epsilon,reward_ma,steps_ma
-4.769999999999985,400,0.05,-1.9831999999999967,398.88
-3.04,400,0.05,-2.0181999999999967,398.88
-2.74,400,0.05,-1.995599999999997,398.88
-1.029999999999999,400,0.05,-2.004999999999997,398.88
-1.439999999999999,400,0.05,-1.9909999999999968,398.88
-1.78,400,0.05,-1.998599999999997,398.88
-2.9199999999999933,400,0.05,-1.972599999999997,398.88
-1.679999999999999,400,0.05,-1.9583999999999968,398.88
0.7200000000000002,290,0.05,-1.907199999999997,396.68
-2.9000000000000004,400,0.05,-1.951199999999997,396.68
-1.259999999999999,400,0.05,-1.989199999999997,396.68
-0.5099999999999985,400,0.05,-1.993599999999997,396.68
-1.049999999999999,400,0.05,-1.988199999999997,396.68
-1.3799999999999981,400,0.05,-1.965599999999997,396.68
2.5000000000000018,302,0.05,-1.890599999999997,394.72
-0.01999999999999824,400,0.05,-1.830199999999997,394.72
2.490000000000002,227,0.05,-1.766999999999997,391.26
-1.3299999999999994,400,0.05,-1.7231999999999972,391.26
-0.909999999999999,400,0.05,-1.741399999999997,391.26
-2.730000000000001,400,0.05,-1.8063999999999971,391.26
1.2500000000000002,387,0.05,-1.7623999999999973,391.0
-2.6799999999999944,400,0.05,-1.8067999999999969,391.0
-2.3600000000000003,400,0.05,-1.8285999999999971,391.0
-1.4600000000000002,400,0.05,-1.7643999999999977,391.0
-1.529999999999995,380,0.05,-1.7313999999999976,390.6
2.610000000000001,140,0.05,-1.6647999999999976,385.4
2.740000000000001,128,0.05,-1.6163999999999976,379.96
-3.439999999999994,400,0.05,-1.7007999999999976,379.96
-2.699999999999998,400,0.05,-1.7483999999999975,379.96
-2.339999999999998,400,0.05,-1.7265999999999977,379.96
-3.2699999999999996,400,0.05,-1.7535999999999976,379.96
-1.339999999999999,400,0.05,-1.7429999999999977,379.96
-2.18,400,0.05,-1.7241999999999975,379.96
-4.769999999999984,400,0.05,-1.798799999999997,379.96
-0.5899999999999994,400,0.05,-1.7609999999999975,379.96
-3.2899999999999996,400,0.05,-1.7979999999999974,379.96
-5.359999999999984,400,0.05,-1.819199999999997,379.96
-4.669999999999989,400,0.05,-1.8779999999999968,379.96
0.9200000000000007,336,0.05,-1.9031999999999971,379.8
-2.9200000000000004,400,0.05,-1.9145999999999967,379.8
-2.9700000000000006,400,0.05,-1.929399999999997,379.8
-2.3100000000000005,400,0.05,-1.912799999999997,379.8
-2.5300000000000007,400,0.05,-1.9153999999999969,379.8
-1.609999999999999,400,0.05,-1.896399999999997,379.8
0.0800000000000014,400,0.05,-1.849599999999997,379.8
-4.129999999999996,400,0.05,-1.8417999999999972,379.8
-1.6699999999999997,400,0.05,-1.8019999999999974,379.8
-1.729999999999999,400,0.05,-1.7721999999999973,379.8
-3.509999999999999,400,0.05,-1.7615999999999974,379.8
-2.2199999999999998,400,0.05,-1.7151999999999976,379.8
-4.96999999999999,400,0.05,-1.7191999999999978,379.8
-2.37,400,0.05,-1.7057999999999978,379.8
-0.389999999999999,400,0.05,-1.6587999999999976,379.8
-0.18999999999999906,400,0.05,-1.6419999999999977,379.8
0.9400000000000026,400,0.05,-1.5943999999999976,379.8
-1.6499999999999975,400,0.05,-1.5917999999999979,379.8
-2.059999999999999,400,0.05,-1.5745999999999978,379.8
0.590000000000003,400,0.05,-1.529199999999998,379.8
-1.3399999999999994,400,0.05,-1.570399999999998,382.0
0.31000000000000094,400,0.05,-1.5061999999999978,382.0
-1.8499999999999992,400,0.05,-1.5179999999999976,382.0
-1.949999999999999,400,0.05,-1.5467999999999977,382.0
-0.5599999999999979,400,0.05,-1.536999999999998,382.0
-0.8499999999999988,400,0.05,-1.526399999999998,382.0
-2.74,400,0.05,-1.631199999999998,383.96
-2.7000000000000006,400,0.05,-1.6847999999999979,383.96
-1.8900000000000006,400,0.05,-1.7723999999999978,387.42
1.040000000000001,352,0.05,-1.724999999999998,386.46
0.36000000000000054,271,0.05,-1.699599999999998,383.88
1.2100000000000004,217,0.05,-1.6207999999999978,380.22
0.5200000000000009,361,0.05,-1.635399999999998,379.7
-1.1899999999999993,400,0.05,-1.6055999999999981,379.7
-2.6500000000000004,400,0.05,-1.6113999999999982,379.7
-3.729999999999994,400,0.05,-1.6567999999999978,379.7
-3.339999999999996,400,0.05,-1.6929999999999978,380.1
-2.6100000000000008,400,0.05,-1.797399999999998,385.3
